"Hello, Alicia.  How do you feel?,","Hola, Alicia, Como te ",,,,,,
"Back,",Regresar,,,,,,
"Your Settings,",Tus preferencias,,,,,,
"View Reports,",Ver Reportes,,,,,,
"Record Feeling,",Grabar sentimiento,,,,,,
"You feel,",Tu te sientes: ,,,,,,
Category,Feeling ,Categoria,Sentimiento,,,,
Lonely,excluded,solitario,excluido,,,,
Lonely,lonesome,solitario,solitario,,,,
Lonely,distant,solitario,distante,,,,
Lonely,aloof,solitario,a distancia,,,,
Lonely,lonely,solitario,solitario,,,,
Lonely,alienated,solitario,alienado,,,,
Lonely,estranged,solitario,enajenado,,,,
Lonely,remote,solitario,a distancia,,,,
Lonely,alone,solitario,solo ,,,,
Lonely,apart,solitario,aparte,,,,
Lonely,insulated,solitario,insulado,,,,
Lonely,isolated,solitario,aislado,,,,
Lonely,abandoned,solitario,abandonado,,,,
Lonely,all alone,solitario,solo ,,,,
Lonely,forsaken,solitario,abandonado,,,,
Lonely,cut off,solitario,cortado,,,,
Guilt/Shame,regretful,culpa/ pena,arrepentido,,,,
Guilt/Shame,wrong,culpa/ pena,equivocado,,,,
Guilt/Shame,embarassed,culpa/ pena,apenado,,,,
Guilt/Shame,at fault,culpa/ pena,la culpa,,,,
Guilt/Shame,in error,culpa/ pena,por error,,,,
Guilt/Shame,responsible,culpa/ pena,responsible,,,,
Guilt/Shame,bungling,culpa/ pena,torpeza,,,,
Guilt/Shame,fumbling,culpa/ pena,torpeza,,,,
Guilt/Shame,lament,culpa/ pena,lamento,,,,
Guilt/Shame,ashamed,culpa/ pena,avergonzado,,,,
Guilt/Shame,guilty,culpa/ pena,culpable,,,,
Guilt/Shame,remorseful,culpa/ pena,arrepentido,,,,
Guilt/Shame,crummy,culpa/ pena,de mala muerte,,,,
Guilt/Shame,to blame,culpa/ pena,la culpa,,,,
Guilt/Shame,less respectable,culpa/ pena,menos respetable,,,,
Guilt/Shame,demeaned,culpa/ pena,degradado,,,,
Guilt/Shame,sick at heart,culpa/ pena,enfermo de corazon,,,,
Guilt/Shame,exposed,culpa/ pena,expuesto,,,,
Guilt/Shame,unforgivable,culpa/ pena,imperdonable ,,,,
Guilt/Shame,humiliated,culpa/ pena,humillado,,,,
Guilt/Shame,disgraced,culpa/ pena,desgraciado,,,,
Guilt/Shame,degraded,culpa/ pena,degradado,,,,
Guilt/Shame,horrible,culpa/ pena,horrible,,,,
Guilt/Shame,mortified,culpa/ pena,mortificado,,,,
